1;35238;Place Sainte-Anne (cote rue Pont aux Foulons);Enterré;Public;Sans;Résine;;OM-MM;1351748.395704929900000;7223279.862085600400000;-1.68026953007078;48.1142817105565
2;35238;Place Sainte-Anne (cote rue d Echange);Enterré;Public;Sans;Métal;;OM-MM;1351694.975501539900000;7223312.415489899900000;-1.68101222943807;48.1145448096629
3;35238;Face au 49, rue de Dinan;Aérien;Public;Sans;Enrobé;;VE;1351469.576064850000000;7223474.549269899700000;-1.68416624244859;48.1158773236147
5;35238;37, rue Nantaise;Enterré;Public;Sans;Métal;;OM-MM-VE;1351338.843011650000000;7223083.878345809900000;-1.68560023023808;48.1122986451369
6;35238;Face au 20, place des Lices;Enterré;Public;Sans;Résine;;OM-VE;1351553.812518070000000;7223188.794078489800000;-1.68280392613905;48.1133579334639
7;35238;15, rue Saint-Louis;Enterré;Public;Sans;Résine;;OM-MM;1351564.232559260000000;7223232.686008630300000;-1.68270001760514;48.113757665475
8;35238;Place Hoche (face au 22, rue Saint-Melaine);Aérien;Public;Sans;Pavé;;OM-MM;1351991.181811780000000;7223339.566425650400000;-1.67706326569253;48.1149501475362
9;35238;Boulevard de Bulgarie (angle square de Sofia);Aérien;Public;Haie;Béton;;OM;1353073.796437030000000;7219886.804222020300000;-1.6597477408239;48.084541528943
10;35238;Boulevard de Bulgarie (angle square de Sofia);Aérien;Public;Haie;Béton;;OM;1353119.755541279900000;7219883.363908809600000;-1.65912915284993;48.0845356095773
11;35238;Boulevard de Bulgarie (angle square de Macedoine);Aérien;Public;Haie;Terre;;OM-MM;1353173.674089390100000;7219875.847674000100000;-1.6584006137653;48.0844974170926
12;35238;11, boulevard de Bulgarie;Aérien;Public;Haie;Béton;;OM;1353136.029868430000000;7219912.202294250000000;-1.65893447420492;48.0848033549005
13;35238;1, boulevard de Bulgarie;Aérien;Public;Haie;Béton;;OM;1353036.104197300000000;7219918.160512809600000;-1.6602781998875;48.0848025604694
14;35238;Face au n°18, square de Nimegue;Enterré;Public;Sans;Enrobé;20100428;OM-MM;1353064.608104920000000;7219974.297898639900000;-1.65994179798198;48.0853220368448
15;35238;Avenue des Pays-Bas (angle place de Serbie );Enterré;Public;Sans;Métal;;OM-MM;1353040.072295510000000;7220227.067820769700000;-1.66047553900468;48.0875780196242
16;35238;23, place de Serbie;Enterré;Public;Sans;Métal;20100506;OM-MM-VE;1353197.512556630000000;7220200.883793749800000;-1.65834467086386;48.0874284730428
18;35238;place de Serbie (face au 18);Aérien;Public;Sans;Enrobé;20100506;OM-MM-VE;1353139.017804930000000;7220227.046004000100000;-1.65914968792642;48.0876315796947
20;35238;Face au 2, place  du Banat;Aérien;Public;Grillage souple;Gravier;;OM-MM;1353413.463610860100000;7220170.494119869500000;-1.65542638720482;48.0872728905096
22;35238;2, place du Banat;Aérien;Public;Haie;Béton;;OM-MM-VE;1353441.850957040000000;7220107.232872749700000;-1.65499476455512;48.0867203497921
23;35238;14, parc des Balkans;Aérien;Public;Haie;Gravier;;OM-MM;1353437.958161730100000;7220014.287026859800000;-1.65497163789892;48.0858837858345
24;35238;13, parc des Balkans;Aérien;Public;Haie;Terre;;OM-MM;1353453.732993139900000;7219991.139676519700000;-1.6547415185839;48.0856845341874
25;35238;19, parc des Balkans;Aérien;Public;Haie;Gravier;;OM-MM;1353435.440142910000000;7219960.320605879600000;-1.65496166435477;48.0853979182666
26;35238;8, parc des Balkans;Aérien;Public;Haie;Terre;;OM;1353404.064106380100000;7219920.628745799900000;-1.65534992221702;48.0850245425655
27;35238;7, place de Torigne;Aérien;Public;Haie;Béton;;OM-MM;1353335.188407779900000;7219932.287483260000000;-1.65628223382619;48.0850918252643
28;35238;20, parc des Balkans;Aérien;Public;Haie;Gravier;;MM;1353401.189967240000000;7219933.653700009900000;-1.65539898392581;48.0851399182738
30;35238;Cours d Arnhem (angle square de Nimegue);Enterré;Public;Sans;Métal;20100428;OM-MM-VE;1353130.800171000000000;7219977.755692020100000;-1.65905769060334;48.0853890391723
33;35238;Rue de Roumanie (angle square de Transylvanie );Aérien;Public;Haie;Enrobé;;OM;1353521.734383710000000;7219992.486731160400000;-1.6538314454426;48.0857335284256
34;35238;Rue de Roumanie (angle allee de la Drave);Aérien;Public;Haie;Enrobé;;MM;1353518.591294050000000;7219977.519480830100000;-1.65386143970639;48.0855974495625
35;35238;Avenue de Pologne (angle allee de la Drave);Aérien;Public;Haie;Terre;;OM;1353716.038860660000000;7219923.634539379700000;-1.6511721885677;48.0852207823912
36;35238;Avenue de Pologne (angle square de Pomeranie);Aérien;Public;Haie;Terre;;MM;1353717.451507450100000;7219966.613204999800000;-1.65118804466872;48.0856074044634
37;35238;Boulevard Albert 1er (8, allee du Luxembourg);Aérien;Public;Béton - Grillage - Haie;Gravier;;OM-MM;1351262.469510830000000;7220548.077172510300000;-1.68455596473574;48.0894915632836
38;35238;Boulevard Albert 1er (angle avenue du canada);Enterré;Public;Sans;Métal;;OM-MM-VE;1351375.256577299900000;7220527.997284700200000;-1.68302826808585;48.0893728846385
39;35238;Rue du Sous-Lieutenant Fournier;Enterré;Public;Sans;Métal;;OM-MM-VE;1351557.717455860000000;7220683.217415239700000;-1.6807097482371;48.0908659902109
41;35238;Rue des Freres Louis et Rene Moine;Enterré;Public;Sans;Métal;;OM-MM-VE;1351441.777118850000000;7220687.329877779800000;-1.68226672765011;48.0908396287362
43;35238;13, avenue du Canada;Aérien;Public;Sans;Enrobé;;OM-MM;1351459.493905930100000;7220346.221135670300000;-1.68175140381078;48.0877869533049
